route,free_flow,travel_time,time stamp
"""ORE99W at SW Tualatin Sherwood Rd TO I-5 via Tualatin Sherwood Rd (Washington County)""","""7 min""",null,4/23/2024 12:00
"""ORE99W at SW Tualatin Sherwood Rd TO I-5 via OR99W (Washington County)""","""11 min""",null,4/23/2024 12:00
"""ORE99W NB Dundee TO ORE99W via OR18""","""7 min""","""11 min""",4/23/2024 12:00
"""ORE99W NB Dundee TO ORE99W via OR99W North of Newberg""","""8 min""","""12 min""",4/23/2024 12:00
"""ORE99W SB Newberg TO ORE99W via OR99W""","""8 min""","""13 min""",4/23/2024 12:00
"""ORE99W SB Newberg TO ORE99W via OR18""","""7 min""","""13 min""",4/23/2024 12:00
"""SW Scholls Ferry Rd at Roy Rogers Rd TO ORE99W via Roy Rogers Rd (Washington County)""","""6 min""",null,4/23/2024 12:00
"""SW Scholls Ferry Rd at Roy Rogers Rd TO ORE217 via Scholls Ferry Rd (Washington County)""","""6 min""",null,4/23/2024 12:00
"""TV Hwy SW Cornelius Pass Rd TO US26 EB""","""7 min""",null,4/23/2024 12:00
"""TV Hwy SW Cornelius Pass Rd TO ORE217 NB""","""8 min""",null,4/23/2024 12:00
"""EB""","""EB""","""EB""",4/23/2024 12:00
"""US26 EB Cedar Hills Blvd TO I-5 via ORE217 SB""","""10 min""",null,4/23/2024 12:00
"""US26 EB Cedar Hills Blvd TO I-405""","""9 min""","""9 min""",4/23/2024 12:00
"""US26 EB NW 185th Ave TO ORE217""","""7 min""","""7 min""",4/23/2024 12:00
"""US26 EB NW 185th Ave TO I-405""","""14 min""","""14 min""",4/23/2024 12:00
"""US26 EB Rhododendron TO Timberline Hwy""",null,"""14 min""",4/23/2024 12:00
"""US26 EB Rhododendron TO Frog Lake""",null,"""22 min""",4/23/2024 12:00
"""US26 EB Sandy TO Government Camp""",null,"""37 min""",4/23/2024 12:00
"""US26 EB Sandy TO Frog Lake""",null,"""43 min""",4/23/2024 12:00
"""US26 EB Zoo Bridge TO I-205 via I-84""","""13 min""","""13 min""",4/23/2024 12:00
"""US26 EB Zoo Bridge TO SR14""","""12 min""","""12 min""",4/23/2024 12:00
"""WB""","""WB""","""WB""",4/23/2024 12:00
"""US26 WB Cedar Hills Blvd TO NW 185th Ave""","""6 min""","""6 min""",4/23/2024 12:00
"""US26 WB Frog Lake TO Rhododendron""",null,"""19 min""",4/23/2024 12:00
"""US26 WB Frog Lake TO Hood River""",null,"""47 min""",4/23/2024 12:00
"""US26 WB Timberline Hwy TO Hood River""",null,"""46 min""",4/23/2024 12:00
